Parameter;Office;Group_Office;Open-plan_Office;Meeting_Room;Counter_Hall;Retail_Store;Retail_Store_with_Cooling;Classroom;Auditorium;Bedroom;Hotel_Room;Canteen;Restaurant;Kitchen_in_Non-residential_Buildings;Kitchen_–_Preparation,_Storage;WC_and_Sanitary_Rooms_in_Non-residential_Buildings;Other_Common_Rooms;Ancillary_Areas_(without_Common_Rooms);Circulation_Areas;Storage,_Technical,_Archive;Data_Center;Industrial_Halls_–_Heavy_Work,_Standing;Industrial_Halls_–_Medium_Work,_Mostly_Standing;Industrial_Halls_–_Light_Work,_Mostly_Sitting;Audience_Area_(Theater_and_Event_Buildings);Foyer_(Theater_and_Event_Buildings);Stage_(Theater_and_Event_Buildings);Exhibition_and_Congress;Exhibition_Rooms_and_Museum_with_Conservation_Requirements;Library_–_Reading_Room;Library_–_Open_Stacks;Library_–_Archive_and_Depot;Gymnasium_without_Spectators;Parking_(Office_and_Private);Parking_(Public);Sauna_Area;Fitness_Room;Laboratory;Examination_and_Treatment_Rooms;Special_Care_Areas;Corridors_of_General_Care_Area;Medical_and_Therapeutic_Practices;Warehouses,_Logistics_Halls
Usage Times;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daily Usage Time Start;07:00;07:00;07:00;07:00;07:00;08:00;08:00;08:00;08:00;00:00;21:00;08:00;10:00;10:00;10:00;07:00;07:00;07:00;07:00;07:00;00:00;07:00;07:00;07:00;19:00;19:00;13:00;09:00;10:00;08:00;08:00;08:00;08:00;07:00;09:00;10:00;08:00;07:00;07:00;00:00;00:00;08:00;00:00
Daily Usage Time End;18:00;18:00;18:00;18:00;18:00;20:00;20:00;15:00;18:00;00:00;08:00;15:00;00:00;23:00;23:00;18:00;18:00;18:00;18:00;18:00;00:00;16:00;16:00;16:00;23:00;23:00;23:00;18:00;18:00;20:00;20:00;20:00;23:00;18:00;00:00;22:00;23:00;18:00;18:00;00:00;00:00;18:00;00:00
Annual Usage Days;250;250;250;250;250;300;300;200;150;365;365;250;300;300;300;250;250;250;250;250;365;230;230;230;250;250;250;150;250;300;300;300;250;250;365;365;365;250;250;365;365;250;365
Annual Usage Hours Daytime;2543;2543;2543;2543;2543;3009;3009;1400;1408;4407;743;1750;2411;2411;2411;2543;2543;2543;2543;2543;4407;2018;2018;2018;59;59;1259;1258;1846;3009;3009;3009;2509;2543;3298;2933;3663;2543;2543;4407;4407;2346;4407
Annual Usage Hours Nighttime;207;207;207;207;207;591;591;0;92;4353;3272;0;1789;1489;1489;207;207;207;207;207;4353;52;52;52;941;941;1241;92;154;591;591;591;1241;207;2177;1447;1812;207;207;4353;4353;154;4353
Daily HVAC and Cooling Start;05:00;05:00;05:00;05:00;05:00;06:00;06:00;06:00;06:00;00:00;00:00;06:00;08:00;08:00;08:00;05:00;05:00;05:00;05:00;05:00;00:00;06:00;06:00;06:00;17:00;17:00;11:00;07:00;00:00;06:00;06:00;06:00;06:00;05:00;07:00;08:00;06:00;00:00;05:00;00:00;00:00;06:00;00:00
Daily HVAC and Cooling End;18:00;18:00;18:00;18:00;18:00;20:00;20:00;15:00;18:00;00:00;00:00;15:00;00:00;23:00;23:00;18:00;18:00;18:00;18:00;18:00;00:00;16:00;16:00;16:00;23:00;23:00;23:00;18:00;00:00;20:00;20:00;20:00;23:00;18:00;00:00;22:00;23:00;00:00;18:00;00:00;00:00;18:00;00:00
Annual Operating Days HVAC, Cooling and Heating;250;250;250;250;250;300;300;200;150;365;365;250;300;300;300;250;250;250;250;250;365;230;230;230;250;250;250;150;365;300;300;300;250;250;365;365;365;250;250;365;365;250;365
Daily Heating Start;05:00;05:00;05:00;05:00;05:00;06:00;06:00;06:00;06:00;00:00;00:00;06:00;08:00;08:00;08:00;05:00;05:00;05:00;05:00;05:00;00:00;06:00;06:00;06:00;17:00;17:00;11:00;07:00;00:00;06:00;06:00;06:00;06:00;;;08:00;06:00;05:00;05:00;00:00;00:00;06:00;00:00
Daily Heating End;18:00;18:00;18:00;18:00;18:00;20:00;20:00;15:00;18:00;00:00;00:00;15:00;00:00;23:00;23:00;18:00;18:00;18:00;18:00;18:00;00:00;16:00;16:00;16:00;23:00;23:00;23:00;18:00;00:00;20:00;20:00;20:00;23:00;;;22:00;23:00;00:00;18:00;00:00;00:00;18:00;00:00
Room Conditions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Room Setpoint Temperature Heating;21;21;21;21;21;21;21;21;21;22;21;21;21;21;21;21;21;21;21;21;21;15;17;20;21;21;21;21;21;21;21;21;19;21;21;24;20;22;22;24;22;22;12
Room Setpoint Temperature Cooling;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;28;26;24;24;24;24;24;24;24;24;24;24;24;24;;24;24;24;24;24;24;26
Minimum Design Temperature Heating;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;15;15;18;20;20;20;20;20;20;20;20;20;20;20;23;18;20;20;22;20;20;12
Maximum Design Temperature Cooling;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;30;28;26;26;26;26;26;26;26;26;26;26;26;26;;26;26;26;26;26;26;28
Temperature Reduction Reduced Operation;4;4;4;4;4;4;4;4;4;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;4;0
Humidity Requirement;with tolerance;with tolerance;with tolerance;with tolerance;with tolerance;with tolerance;with tolerance;with tolerance;with tolerance;none;with tolerance;with tolerance;;;;none;with tolerance;none;none;;;;;;;;;;;;;;;;;;;;with tolerance;with tolerance;none;with tolerance;none
Minimum Outside Air Volume Flow;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
per person;40;40;60;20;20;20;20;30;30;0;30;30;30;0;0;0;0;0;0;0;40;70;50;30;30;20;0;20;20;20;20;0;60;0;0;0;60;0;0;0;0;0;36
per area;4;4;6;15;2;4;4;10;30;5;3;18;18;90;15;15;7;0;0;0.15;1.3;3.5;2.5;1.5;40;25;0.3;7;2;8;2;3;3;8;8;15;12;25;10;30;10;10;1
Air Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minimum Outside Air Volume Flow for Building;2.5;2.5;2.5;2.5;1.25;2.5;2.5;2.5;2.5;2.5;2;2.5;2.5;0;0;5;2.5;0;0;0;0;0;0;0;5;5;0;2.5;2;2.5;2;2;1.25;0;0;0;2.5;0;2.5;0;0;2.5;0
Relative Absence HVAC;0.3;0.3;0.2;0.5;0.5;0.5;0.5;0.25;0.5;0;0.5;0.7;0.6;0;0;0.7;0.5;0;0;0;0;0;0;0;0.7;0.5;0;0.7;0.5;0.5;0;0.5;0.5;0;0;0;0.5;0;0.3;0;0;0.3;0
Part-load Factor of Building Operating Time;0.7;0.7;1;0.5;1;1;1;0.9;0.6;0.8;0.5;1;0.7;0;0;1;0.8;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0.9;0;0;0;0.9;0;0.7;0;0;0.7;0
Lighting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maintained Illuminance;500;500;500;500;200;300;300;300;500;300;200;200;200;500;300;200;300;100;100;100;500;300;400;500;200;300;1000;300;200;500;200;100;300;75;75;200;300;500;500;300;125;500;150
Height of Usage Plane;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.2;0.8;0.8;0.8;0.8;0.8;0.8;0;0;0.8;0.8;0.8;0.8;0.8;1;0.2;0.2;0;0;1;0.8;0.8;0.2;0.8;0
Reduction Factor kA;0.84;0.92;0.93;0.93;0.87;0.93;0.93;0.97;0.92;1;1;0.97;1;0.96;1;1;0.93;1;1;1;0.96;0.85;0.85;0.85;0.97;1;0.9;0.93;0.88;0.88;1;1;1;1;1;1;1;0.92;1;1;1;1;1
Relative Absence CA;0.3;0.3;0;0.5;0;0;0;0.25;0.25;0;0.6;0;0;0;0.5;0.9;0.5;0.9;0.8;0.98;0.5;0.1;0.1;0.1;0;0.5;0;0.5;0;0;0;0.9;0.3;0.95;0.8;0;0;0.3;0;0;0.8;0;0.6
Room Index k;0.9;1.25;2.5;1.25;1.5;2.5;2.5;2;2.5;1.5;1.25;2.5;2.5;1.5;1.5;0.8;1.25;1.5;0.8;1.5;1.5;2.5;2.5;2.5;4;4;2.5;5;2;1.5;1.5;1.5;2;2;4;1;2;1.25;1.2;1.2;1;1.2;2.4
Reduction Factor Building Operating Time Ft;0.7;0.7;1;1;1;1;1;0.9;0.7;0.5;0.3;1;1;1;1;1;1;1;1;1;0.5;0.9;0.9;0.9;1;1;0.6;1;1;1;1;1;1;1;1;1;1;1;1;0.8;1;1;0.4
Adjustment Factor Lighting Vertical Surfaces kVB;1;1;1;1;1;1.5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1.7;2;1;1;1;1;1;1;1;1;1;1;1.8
Occupancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maximum Occupancy Density;14;14;10;3;12;5;5;3;1;14;10;1.2;1.2;10;10;0;3;0;0;0;30;20;20;20;0.75;0.8;0;3;10;2.5;10;0;20;0;0;12;5;14;6;15;0;12;0
Internal Heat Sources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Full Usage Hours Persons;6;6;6;4;6;6;6;5;6;24;10;3;4;7;7;0;4;0;0;0;6;8;8;8;2;1;0;6;4;6;6;0;10;0;0;10;12;6;7;24;0;9;0
Full Usage Hours Equipment;6;6;6;4;6;12;17;5;6;6;11;5;7;6;6;0;4;0;0;0;12;8;8;8;0;0;0;6;0;0;0;0;0;0;0;10;12;6;5;24;0;5;0
Activity Persons (sensible);70;70;70;70;70;70;70;60;70;70;70;70;70;80;80;0;70;0;0;0;70;120;100;80;70;70;0;70;70;70;70;0;125;0;0;70;110;90;70;70;0;70;0
Equipment Power;100;100;100;6;48;10;-50;12;4;56;40;2.4;2.4;3000;300;0;6;0;0;0;4500;700;700;700;0;0;0;6;0;0;0;0;0;0;0;600;10;252;42;142.5;0;60;0
Person Load [W/m2];5;5;7;23.3;5.8;14;14;20;70;5;7;58.3;58.3;8;8;0;23.3;0;0;0;2.3;6;5;4;93.3;87.5;0;23.3;7;28;7;0;6.3;0;0;5.8;22;6.4;11.7;4.7;0;5.8;0
Equipment [W/m2];7.1;7.1;10;2;4;2;-10;4;4;4;4;2;2;300;30;0;2;0;0;0;150;35;35;35;0;0;0;2;0;0;0;0;0;0;0;50;2;18;7;9.5;0;5;0